page_id,page_namespace,page_title,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
58497,2,Lightning,0,0,0.647441555571,bytearray(b'20200914160515'),bytearray(b'20200914160515'),2856235,192,bytearray(b'wikitext'),
58496,3,Lightning,0,0,0.344609195068,bytearray(b'20230225105503'),bytearray(b'20230225105502'),612511,1853,bytearray(b'wikitext'),
104690,0,Lightning,0,0,0.681757927973,bytearray(b'20231009153031'),bytearray(b'20231009153122'),2655903,8061,bytearray(b'wikitext'),
656,0,List_of_films,0,0,0.241756470987,bytearray(b'20231206094822'),bytearray(b'20231206094822'),3412782,2409,bytearray(b'wikitext'),
405,1,List_of_films,0,0,0.506069670667,bytearray(b'20230325062215'),bytearray(b'20220903005901'),2543045,26656,bytearray(b'wikitext'),
95,0,List_of_literary_works,0,0,0.037335872668,bytearray(b'20231130030729'),bytearray(b'20231130030729'),3409483,1385,bytearray(b'wikitext'),
522,1,List_of_literary_works,0,0,0.221664297963,bytearray(b'20230607201827'),bytearray(b'20230607201826'),2325125,5103,bytearray(b'wikitext'),
734,1,List_of_people_by_name,0,0,0.06331506747,bytearray(b'20210930150616'),bytearray(b'20200714045733'),2783621,16224,bytearray(b'wikitext'),
94,0,List_of_people_by_name,0,0,0.005465500991,bytearray(b'20231003195630'),bytearray(b'20231003195630'),3374180,412,bytearray(b'wikitext'),
103883,14,Literature,0,0,0.659189467244,bytearray(b'20231230205704'),bytearray(b'20231008182113'),2976793,220,bytearray(b'wikitext'),
154667,1,Literature,0,1,0.096281751591,bytearray(b'20230306095040'),bytearray(b'20230306095040'),1721307,1069,bytearray(b'wikitext'),
126487,0,Literature,0,0,0.07085936143,bytearray(b'20231226015040'),bytearray(b'20231226015040'),3429000,23896,bytearray(b'wikitext'),
142679,0,Live,1,1,0.86503664126,bytearray(b'20231224230136'),bytearray(b'20230226184741'),1544813,18,bytearray(b'wikitext'),
143568,0,Lives,1,0,0.304510241895,bytearray(b'20231224230136'),bytearray(b'20230520181833'),1839378,18,bytearray(b'wikitext'),
